description,thematic_areas,features_culture_organization,digital_tools,work_methods,outstanding_knowledge_community,soft_skills,key
"Cisco permite a las personas crear conexiones poderosas, ya sea en negocios, educación, filantropía o creatividad. El hardware, software y los servicios que Cisco ofrece se utilizan para crear las soluciones de Internet que hacen posible las redes-que facilita el acceso a la información en cualquier lugar, en cualquier momento. Cisco fue fundado en 1984, por un grupo de especialistas en cómputo de la Universidad de Stanford. Desde sus inicios los ingenieros de Cisco han sido líderes en el desarrollo de las tecnologías de redes de Protocolo IP. Hoy, con más de 65,225 empleados alrededor del mundo Hoy, con más de 65.225 empleados en todo el mundo, esta tradición de innovación continua con productos líderes en la industria y soluciones en las áreas centrales de la compañía de desarrollo de routing y switching, así como en tecnologías avanzadas tales como redes para el hogar, telefonía IP, redes ópticas, seguridad , la creación de redes de área de almacenamiento, y la tecnología inalámbrica. Además de sus productos, Cisco brinda una amplia gama de servicios, incluyendo servicio técnico y servicios avanzados. Cisco vende sus productos y servicios, tanto de manera directa como a través de sus socios de canal, a grandes empresas, empresas comerciales, proveedores de servicios y consumidores.",,,"[""Cisco Network Assistant"", ""Cisco Networking Academy"", ""Cisco Packet Tracer"", ""Cisco IOS"", ""Cisco Nexus"", ""Cisco UCS Manager"", ""Cisco Unified Communications Manager"", ""Cisco WebEx""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""management_leadership""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""critical_thinking""]",technology
"Allianz es uno de los aseguradores más grandes del mundo, atendiendo más de 85 millones de clientes, todo gracias al esfuerzo que desde 1890 seguimos poniendo día a día por entregarle la tranquilidad a cada uno de los que nos ponen su confianza en nosotros.

En Allianz Colombia seguiremos comprometidos con asegurar el futuro de cada colombiano, ofreciéndole soluciones que se ajusten a todas sus necesidades.",,,,,,,financial
"Verizon is a leading telecommunications company that offers wireless, 
Internet, television and business services. The company has more than 100,000 
employees around the world and is committed to providing its customers 
with the best possible experience.",,,"[""Jenkins"", ""Webex Teams"", ""SolarWinds Network Performance Monitor"", ""Palo Alto Networks""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""marketing_sales"", ""customer_service""]","[""leadership"", ""teamwork"", ""innovation""]",telecommunications
Descripcion...,,,,,,,health
"Somos líderes en la distribución y comercialización de combustibles líquidos, gas natural vehicular y fabricación de diferentes tipos de lubricantes.
Distribuimos combustible al mercado de marinos, aviación e industria. Además, ponemos a disposición de nuestros usuarios una amplia red de tiendas altoque y estaciones de servicio Terpel.",,,,,,,mining_and_petroleum
"Ohnana Tents makes heat-reflective tent which keep the inside of the tent up to 13 degrees cooler then regular tents, it's perfect for summer camping.",,,,,,,health
ok,,,,,,,construction
"Suministros de Colombia, Sumicol S.A, es una de las empresas del Grupo Corona. Fue fundada en 1960 para suministrar minerales industriales y otros productos para la cerámica y otros sectores industriales, así como para desarrollar y fabricar productos para la industria de la construcción.",,,,,,,construction
"Somos una organización privada, gremial, con ordenamiento legal, dedicada a la prestación de los servicios que requieren los empresarios, mediante de un grupo humano calificado y los mejores recursos tecnológicos. Trabajamos con base en la ética y la eficiencia, el respeto por el otro, sentido de responsabilidad y compromiso con la comunidad empresarial.",,,,,,,commerce
"Los recuerdos y experiencias se convierten en magia inspiradora.
Cada ingrediente es cuidadosamente seleccionado y mezclado para llegar al alma y hacer chispa en la boca.
La creatividad es un ingrediente esencial.
Se trabaja hasta el último detalle y cada cosa tiene un toque especial.
Predominan los olores a canela, chocolate y café.
Se comparte el amor por las cosas ricas y bien hechas.
Un lugar donde, sin ir más lejos, nuestros sueños se hacen realidad!",,,,,,,food_and_beverages
Flores El Trigal,,,,,,,others
"La razón de ser de Línea Directa S.A.S,  es la moda que apasiona y el amor que transforma. La Compañía está enfocada en el diseño y producción de ropa interior-exterior para hombre y mujer. Comercializa todos los productos a través del canal de la venta directa. Nuestras marcas son: Carmel, Pacifika y Loguin. ",,,,,,,textile_and_clothing
Descripción...,,,,,,,education
"Empresa de transporte público masivo que incluye los medios de metro, cables, buses (articulados y padrones) y próximamente tranvía.",,,,,,,transport_and_storage
Peldar,,,,,,,health
"The Walt Disney Company is an American media and entertainment conglomerate. It is the world 
largest producer of audiovisual content, and its products include movies, television, theme parks, 
consumer products, and publishing.",,,"[""Adobe Creative Suite"", ""Photoshop"", ""Illustrator"", ""After Effects"", ""CMS"", ""Asana"", ""Final Cut Pro""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""customer_service""]","[""flexibility"", ""teamwork"", ""adaptability"", ""problem_solving"", ""critical_thinking"", ""empathy"", ""creativity"", ""time_management"", ""leadership"", ""focus""]",telecommunications
"Pfizer is a biopharmaceutical company that develops, manufactures, 
and markets medicines, vaccines, and biologics. The company is headquartered 
in New York and is present in more than 150 countries.",,,"[""IBM Watson"", ""Adobe Creative Cloud"", ""Illustrator"", ""Salesforce"", ""Tableau""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""finance""]","[""time_management"", ""leadership"", ""Integrity"", ""social_skills""]",health
"Agua Bendita comenzó como un sueño, el de Catalina Álvarez y Mariana Hinestroza, dos mujeres colombianas que decidieron seguir su pasión por el diseño y crearon una marca de trajes de baño únicos y exclusivos. Querían contar su historia al mundo y mostrar lo que Colombia es a través de la mezcla de detalles, diseño contemporáneo y artesanías.",,,,,,,textile_and_clothing
"Es una unidad de negocio de Corona, dedicada a la fabricación y comercialización de productos que conforman soluciones integrales para Baños, Cocinas y Revestimientos para hogares, oficinas, establecimientos comerciales e institucionales. 

Colcerámica opera ocho (8) plantas de producción ubicadas en los departamentos de Cundinamarca y Antioquia en Colombia – tres (3) en Estados Unidos, tres (3) en Centro América, tres (3) en México y una (1) en Brasil – que cuentan con tecnología de punta y cumplen con los más altos estándares de calidad para ofrecer a sus clientes y consumidores los mejores productos con el respaldo de las marcas Corona, Grival y American Standard. Ofrece una gran variedad de productos que incluyen aparatos sanitarios, lavamanos, accesorios, asientos sanitarios, griferías, duchas, herrajes, muebles, elementos de plomería, pisos, paredes, porcelanatos y decorados y cocinas.

La calidad certificada, la innovación y los precios asequibles de su portafolio de productos le permiten ser una de las empresas más grandes de América en la industria de acabados para la construcción. Es líder en el mercado colombiano y tiene posiciones importantes en los mercados de Venezuela, Ecuador, Estados Unidos, Canadá, Chile, Honduras, Jamaica, República Dominicana, México, Panamá, Costa Rica, Guatemala, El Salvador, Puerto Rico y Perú, entre otros.",,,,,,,health
"Somos TCC, grupo humano, íntegro, cálido y experto que brinda tranquilidad y confianza a sus clientes, a través de soluciones logísticas innovadoras en la cadena de abastecimiento.",,,,,,,transport_and_storage
"Nutrir el bienestar de las personas. Juntos.
Es la razón por la que trabajamos todos los días. Y para lograrlo asumimos los retos que nos trae el futuro, aportando a la industria y sus protagonistas, las mejores posibilidades para lograr producir más proteína, más económica y de mejor calidad con unos recursos cada vez más limitados y a través de un emocionante proceso de innovación.
Basados en la investigación y el conocimiento podemos lograr una producción más eficiente que permita a la industria agropecuaria cumplir con su responsabilidad de nutrir saludablemente a los más de 8.000 mil millones de personas que seremos en tan solo una década, basados en criterios medioambientales que aseguren la sostenibilidad.",,,,,,,agriculture
"Bank of New York Mellon Corporation is a financial services company that offers a broad range of services, 
including custody, asset management, commercial banking, and global markets. The company is headquartered 
in New York, New York, and has operations around the world.",,,"[""asset management systems"", ""accounting software"", ""e-commerce platforms"", ""Salesforce"", ""Oracle""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""economics"", ""accounting"", ""tecnology""]","[""teamwork"", ""leadership"", ""innovation""]",financial
"Merck is a science and technology company operating in the fields of healthcare, 
life sciences, and electronics. The company was founded in 1668 and is headquartered 
in Darmstadt, Germany. Merck has more than 60,000 employees around the world and operates 
in more than 60 countries.",,,"[""LabWare"", ""Waters"", ""Thermo Fisher Scientific"", ""Agilent Technologies"", ""Bruker"", ""Varian""]","[""remote"", ""in_house"", ""mixed""]","[""economy"", ""technology"", ""education""]","[""adaptability"", ""creativity"", ""innovation""]",electronic
"Johnson & Johnson is a global health company that aims to help people live healthier, happier lives. 
The company is headquartered in New Jersey, USA, and operates in more than 60 countries. Johnson & Johnson 
offers a wide range of healthcare products and services, including drugs, medical devices, consumer products 
and healthcare services.",,,"[""SAP"", ""Tableau"", ""Adobe Creative Suite""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""marketing_sales"", ""accounting""]","[""emotional_intelligence"", ""empathy"", ""patience"", ""motivation""]",health
"Createch es una empresa especializada en el Diseño, Fabricación, Montaje y Mantenimiento de sistemas electromecánicos.",,,,,,,metallurgical
"Desde hace 25 años elaboramos  dotaciones empresariales y comercializamos  implementos de seguridad para los sectores de Aseo, Ingenieria Electrica y Fincas.  
Desde agosto de 2014 cambiamos de Razon Social.  Confeccionamos: overoles, camisas, pantalones, jeans, sacos 3/4 y camisetas.
Contamos con varios talleres de confeccionistas a quienes les llevamos el corte  (bordado o estampado) y los insumos necesarios,  luego les recogemos las prendas y continuamos
con el proceso de control de calidad a  cada  una de las prendas para proceder con el empaque y despacho a nivel local, nacional o internacional.  
Desde  Octubre de 2016  contamos con  la certificacion ISO 9001:2008 en la Fabricacion y Comercializacion de Uniformes de Dotacion e Implementos de Seguridad, avalado  por  Bureau Veritas.",,,,,,,textile_and_clothing
Grupo Uribe,,,,,,,textile_and_clothing
"Somos un equipo experto en brindar soluciones integrales relacionadas con el renting de vehículos, para pymes, empresas y gobierno.",,,,,,,services
"American Express is a financial services company that offers credit card, 
travel, insurance, and other products and services. It was founded in 1850 and is headquartered in New York.",,,"[""Salesforce"", ""SAP"", ""Oracle"", ""IBM"", ""Google Cloud Platform"", ""Amazon Web Services"", ""Microsoft Azure""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""technology"", ""management_leadership""]","[""teamwork"", ""creativity"", ""assertive_comunication"", ""problem_solving"", ""teamwork"", ""motivation""]",financial
"General Electric is a multinational technology and services company headquartered in the United States. 
It is one of the largest companies in the world, with operations in more than 100 countries. GE specializes 
in a wide range of industries, including energy, healthcare, aviation, finance, and media.",,,"[""Predix"", ""Leap Manufacturing"", ""GE Digital Twin"", ""Grid IQ Solutions""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""processes"", ""technology""]","[""flexibility"", ""adaptability"", ""punctuality"", ""time_management"", ""cultural_awareness""]",technology
"Nos posicionamos con los mejores estándares de calidad, para poner nuestros más sabrosos y saludables productos en su mesa. Hacemos que la carne de cerdo sea un complemento para su balance nutricional.",,,,,,,health
"Sacyr es una compañía multinacional de infraestructuras y servicios . Su apuesta por la innovación y la expansión internacional le han convertido en una compañía de referencia en la construcción y gestión de infraestructuras, proyectos industriales y servicios en 29 países.",,,,,,,construction
Te Hatsu,,,,,,,health
"Meals es una empresa colombiana que lidera el negocio de Helados de Grupo Nutresa. En Meals fabricamos y comercializamos productos de excelente calidad, bajo las marcas Crem Helado y Country Hill.
Contamos con tres plantas de Producción ubicadas Armenia, Bogotá y Manizales. Nuestras marcas, de helados y jugos, ofrecen permanentes innovaciones a los consumidores.
Nuestro equipo está conformado por 1.885 personas que trabajan en todo el país. Entre todos, trabajamos por realizar los sueños y metas de la compañía y los nuestros.",,,,,,,health
Empresa tecnologica,[],[],[],[],[],[],information_technology_and_software
"EPM es una empresa de servicios públicos domiciliarios que tiene una historia para contar, con cifras y hechos de una responsabilidad social y ambiental que le da sentido a su origen, a su desarrollo y a su estrategia de negocios.
Organizada bajo la figura de “empresa industrial y comercial del Estado”, de propiedad del Municipio de Medellín,  EPM imprime los más altos estándares internacionales de calidad a los servicios que presta: energía eléctrica, gas por red, agua y saneamiento.
",,,,,,,services
"Corpocentro tiene como fin la realización de trabajo cívico por el centro de Medellín, a través de diversas estrategias que permiten velar por su conservación y recuperación.

Interactuamos tanto con el sector público como privado, lo que nos permite unir los esfuerzos de todos los actores involucrados en la vida del centro.

La diversidad de empresas que constituyen a CORPOCENTRO, nos permite garantizar una visión amplia para el mejoramiento integral del Centro.

La Corporación Cívica Centro de Medellín, es una entidad creada hace 23 años por la Cámara de Comercio de Medellín.",,,,,,,others
Harinera del Valle,,,,,,,agriculture
"El Municipio de Santiago de Cali, como ente territorial, genera las condiciones necesarias para la oportuna prestación de los servicios públicos y sociales, a través de la planificación del desarrollo económico, social, ambiental y del territorio y, de la administración efectiva de los recursos, propiciando la participación ciudadana en la gestión pública, el ejercicio de los derechos y deberes constitucionales y la convivencia pacífica de sus habitantes, con el fin de mejorar su calidad de vida.",,,,,,,public
"Somos una empresa que brinda soluciones integrales de envases plásticos para el sector cosmético y aseo personal.

Satisfacemos a nuestros clientes con:

Calidad
Oportunidad
Alto nivel tecnológico
Innovación permanente","[2, 6]","[""creative_collaborative_environments"", ""respect_beliefs_and_tastes"", ""allow_make_career_plan""]","[""Todoist"", ""MeMail"", ""Slack""]","[""in_house""]","[""marketing_sales"", ""technology""]","[""flexibility"", ""patience""]",plastics
CNV Construcciones es una empresa de construcción con más de 27 años de experiencia en el mercado que actualmente cuenta con operaciones en Colombia y Panamá.,,,,,,,construction
"Somos una compañía orientada a desarrollar, satisfacer
y dar soluciones a los proyectos de construcción,
remodelación y decoración que emprenden nuestros
clientes, apoyo que les ofrecemos a través de nuestra
amplia red de canales de venta y servicios.",,,,,,,commerce
"AT&T is a telecommunications company that provides mobile phone, internet, 
television, and landline phone services.",,,"[""project management"", ""collaboration software"", ""Data Analysis Software"", ""artificial intelligence software"", ""automation software""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""technology"", ""marketing_sales""]","[""decision_making"", ""punctuality"", ""responsability"", ""leadership"", ""time_management"", ""work_ethic""]",telecommunications
Descripcion corta de la empresa,,,,,,,health
"Empresa dedicada al desarrollo y comercialización de alimentos funcionales, es decir, prácticos, saludables y deliciosos. 
Nuestros productos son desarrollados para nichos específicos, buscando satisfacer las necesidades nutricionales de cada uno.",,,,,,,food_and_beverages
Descripción...,,,,,,,food_and_beverages
"Corlanc produce y comercializa diferentes clases de pinturas de bajo olor tales como antibacteriales, impermeabilizantes, evita mancha, súper lavables y pinturas flexibles para acabado final de placas. Adicionalmente produce y comercializa masillas de sistema liviano bajos en VOC, impermeabilizantes bajos en VOC, selladores, siliconas y aerosoles.",,,,,,,others
Descripcion...,,,,,,,health
"Hometuls permite que las empresas pequeñas y medianas puedan comprar y vender a las grandes, pagando a plazo, vendiendo a plazo y sin afectar su liquidez.",,,,,,,health
Interactuar,,,,,,,health
"¡Somos los aliados en el desarrollo de su negocio, a través de soluciones multimedia desarrolladas pensando en el posicionamiento de su negocio y generando clientes potenciales!",,,,,,,publishing
"Grupo SURA es una compañía holding latinoamericana, con foco estratégico en el sector de servicios financieros diversos. Su portafolio está compuesto de la siguiente manera:
- Servicios financieros: incluye empresas en el sector de banca, seguros, pensiones, ahorro, inversión y gestión de activos.
-Industria:  con empresas en los sectores de alimentos, cementos, energía e infraestructura.
- Venture Corporativo: es un programa que desarrolla inversiones en empresas basadas en innovación y tecnología, principalmente en servicios financieros con modelos disruptivos.
Además, invierte en compañías con otros servicios en sectores complementarios.

 

Tiene su origen en 1944, con el nacimiento de la Compañía Suramericana de Seguros Generales (hoy Seguros SURA). En 1997 con la escisión de la actividad aseguradora, se consolida Grupo SURA como holding de lo que hoy es el Conglomerado Financiero SURA, del cual también forman parte, en calidad de filiales, Suramericana (especializada en seguros, tendencias y riesgos) y SURA Asset Management (especializada en la industria de pensiones, ahorro e inversión). El Grupo Bancolombia y Protección también integran el Conglomerado, como inversiones estratégicas no controladas.

 

Grupo SURA cotiza en la Bolsa de Valores de Colombia (BVC) y está inscrita en el programa ADR - Nivel I en Estados Unidos. Está presente a través de las compañías de su portafolio, en once países de Latinoamérica, y es reconocida por su vocación de inversión a largo plazo, su solidez reputacional y su compromiso con la generación de valor, bienestar y desarrollo sostenible.

 

Es la única entidad latinoamericana del sector de servicios financieros diversos que hace parte del Índice Mundial de Sostenibilidad Dow Jones, que reconoce a las compañías con mejores prácticas a nivel global.

",,,,,,,financial
Escala Educación. Brinda servicios de asistencia educativa destinados a incrementar el acceso a la educación superior para familias de ingresos bajos y medios en Colombia.,,,,,,,health
"Somos una compañía colombiana productora y comercializadora de marcas de valor como Gef, Punto Blanco, Baby Fresh, Galax, Parfois con más de 90 años en el mercado.",,"[""quality"", ""discipline"", ""collaboration"", ""customer_orientation"", ""autonomy"", ""creative_collaborative_environments""]","[""Teams"", ""Office 365""]","[""in_house""]","[""marketing_sales"", ""technology"", ""processes"", ""management_leadership"", ""customer_service""]","[""ease_adaptation"", ""collaboration"", ""assertive_communication"", ""cultural_connection"", ""emotional_intelligence"", ""teamwork""]",textile_and_clothing
"PepsiCo is a multinational food and beverage company headquartered in Purchase, New York. 
It is the second largest food and beverage company in the world, after Nestlé. PepsiCo has 
more than 200 brands in its portfolio, including Pepsi, Gatorade, Lays, Doritos, and Quaker Oats. 
The company operates in more than 200 countries and territories.",,,"[""Tableau"", ""Adobe"", ""Microsoft Office"", ""Google Workspace"", ""Salesforce"", ""SAP"", ""Oracle""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""finance"", ""processes""]","[""collaboration"", ""problem_solving"", ""critical_thinking"", ""teamwork""]",food_and_beverages
"Hacemos parte del Grupo Nutresa y tenemos a través de nuestro catálogo los mejores productos para que sorprendas, te cuides y mimes a los que más quieres.",,,,,,,food_and_beverages
Descripción...,,,,,,,health
"Empresa joven, de un grupo de amigos de toda la vida, dedicada a la creación y administración de conceptos gastronómicos, hoy en día somos 171 colaboradores, vinculados en la empresa, 7 puntos de venta (Envigado, Manila, Zona dos, Santa Fe, Molinos, Mayorca). Pizzería Olivia es un restaurante donde su fortaleza son las pizzas artesanales en horno de leña, también se cuenta con una variedad de productos enfocada en productos Italianos. Somos una empresa donde lo humano es prioridad y la responsabilidad social sostenible y productiva esta impregnada en el enfoque y la concepción interna.",,,,,,,food_and_beverages
"El Ministerio de Tecnologías de la Información y las Comunicaciones, según la Ley 1341 o Ley de TIC, es la entidad que se encarga de diseñar, adoptar y promover las políticas, planes, programas y proyectos del sector de las Tecnologías de la Información y las Comunicaciones. Dentro de sus funciones está incrementar y facilitar el acceso de todos los habitantes del territorio nacional a las Tecnologías de la Información y las Comunicaciones y a sus beneficios.",,,,,,,agriculture
"COSECHAS nace en el año 2008 como un concepto innovador en la industria de las bebidas saludables, con un estilo y marca que establecen nuevos estándares para el paladar bajo una dieta más saludable. 
Se reconoce como un producto que ofrece “satisfacción personal”, y que lleva de  forma conveniente y práctica los incomparables sabores, texturas, aromas, y colores de nuestras frutas y vegetales.
Actualmente cuenta con mas de 500 tiendas, distribuidas en todo el territorio nacional, que operan bajo el modelo de Franquicias.",,,,,,,food_and_beverages
"Somos la entidad técnica, estratégica y transversal del Gobierno Nacional que contribuye al bienestar de los colombianos mediante el mejoramiento continuo de la gestión de los servidores públicos y las instituciones en todo el territorio nacional.
 
Función Pública hace parte de los 24 sectores que componen la Rama Ejecutiva Nacional, siendo cabeza del sector Función Pública, del cual también hace parte la Escuela Superior de Administración Pública (ESAP); entidad descentralizada de carácter universitario con presencia regional.",,,,,,,public
"Berkshire Hathaway is an American investment firm headquartered in Omaha, Nebraska. 
It is one of the largest companies in the world by market capitalization and is led by Warren Buffett. 
Berkshire Hathaway has investments in a wide range of companies, including Geico, Dairy Queen, Fruit 
of the Loom, and the BNSF Railway.",,,"[""Microsoft Office"", ""Adobe Creative Suite"", ""Salesforce"", ""Google Analytics"", ""Slack"", ""Zoom"", ""Trello"", ""Asana"", ""Tour"", ""Confluence""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""accounting""]","[""adaptability"", ""problem_solving"", ""critical_thinking"", ""assertive_communication"", ""teamwork"", ""leadership"", ""flexibility"", ""persuasion"", ""creativity""]",financial
Nuestro propósito es producir y comercializar productos de belleza y cuidado personal que mejoren la calidad de vida de los consumidores y superen sus expectativas.,,,,,,,beauty_and_esthetics
"Procter & Gamble is a multinational consumer goods company headquartered in Cincinnati, Ohio. 
The company was founded in 1837 by William Procter and James Gamble, and is one of the largest 
consumer goods companies in the world. P&G manufactures a wide range of products, including soaps, 
detergents, shampoos, conditioners, oral care products, diapers, sanitary napkins, cleaning products, 
baby food, and personal care products.",,,"[""Adobe Creative Cloud"", ""SAP"", ""AWS"", ""SalesForce"", ""Oracle"", ""Tableau""]","[""remote"", ""in_house"", ""mixed""]","[""processes"", ""marketing_sales"", ""finance""]","[""fast_learning"", ""problem_solving"", ""decision_making"", ""teamwork"", ""leadership""]",pharmaceutical
Descripcion corta de la empresa,,,,,,,health
"HSBC Holdings plc is an international bank headquartered in London, United Kingdom. 
It is one of the largest banks in the world, with operations in more than 80 countries. 
HSBC offers a wide range of financial services, including commercial banking, investment banking, 
asset management and private banking.",,,"[""SAP"", ""Oracle"", ""Bloomberg"", ""Reuters""]","[""remote"", ""in_house"", ""mixed""]","[""accounting"", ""finance"", ""economy""]","[""teamwork"", ""problem_solving"", ""emotional_intelligence"", ""critical_thinking"", ""creativity""]",financial
"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.

Innovative Product Development, World-Class Operations, Retail, and Telephone Support",,,"[""Xcode"", ""Swift"", ""Objective-C"", ""Cocoa Touch"", ""Interface Builder"", ""Instruments"", ""TestFlight"", ""Core Animation"", ""Metal"", ""ARKit"", ""UIKit"", ""Core Data""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""finance"", ""processes"", ""work_methods""]","[""creativity"", ""work_ethic"", ""problem_solving"", ""teamwork"", ""assertive_communication"", ""leadership"", ""patience"", ""focus""]",technology
"Somos un laboratorio de EMPRENDIMIENTO e INNOVACIÓN enfocado en generar soluciones que visibilizan y dinamizan el ecosistema emprendedor, porque creemos que el emprendimiento y la innovación son “LAS” herramientas para el desarrollo del país. 
Entre nuestras lineas de negocio se encuentra:
1. Revista Mprende
2. Creación de redes de valor a través de eventos
3. Transformación de futuro a través de la generación de habilidades siglo XXI
4. Consolidación de sueños: Acompañamiento a emprendedores 
5. Generación de metamorfosis empresarial: Llevar metodologías de emprendimiento a las organizaciones ",,,,,,,health
"Gana es la red tecnológica más grande del departamento de Antioquia, a través de la cual se ofrecen servicios de giros, recargas, recaudos, pagos, seguros, juegos, entre otros. Nuestra capilaridad nos permite estar en los 125 municipios del departamento, llevando bienestar, calidad de vida, desarrollo económico y social a todas las comunidades donde estamos presentes.

Gana es una marca del Grupo Réditos, un holding empresarial presente en diversos sectores de la economía y con una proyección multilatina.",,,,,,,health
"Cómo Vamos es un programa de seguimiento y evaluación de la calidad de vida en las ciudades. Tiene como propósito contribuir a desarrollar gobiernos efectivos y transparentes y ciudadanías más informadas, responsables y participativas. La evaluación de la calidad de vida de la ciudad se hace a partir de indicadores objetivos y subjetivos y del seguimiento a los resultados de la gestión pública, con participación de expertos, administradores, académicos, organizaciones sociales y comunitarias y ciudadanos, entre otros actores del desarrollo.",,,,,,,public
"GAMMA pertenece a la Organización Corona, una compañía multinacional con más de 133 años de experiencia en procesos de manufactura, que actualmente emplea más de 18.000 personas y cuenta con más de veintisiete plantas de producción entre Estados Unidos, Colombia, México, Brasil y Centroamérica. Es reconocida además como una empresa con un alto grado de compromiso con la naturaleza y la sociedad.

Con más de 50 años de trayectoria en el mercado, somos una compañía dedicada a la fabricación y comercialización de soluciones en aislamiento y equipos de protección y maniobra para las empresas de energía eléctrica, compañías fabricantes de equipos y distribuidores del sector eléctrico.

Actualmente somos distribuidores para Colombia de la línea de productos de protección y maniobra para baja y media tensión de Hyundai y desde el 2013 participamos en el negocio de refractarios a través de la adquisición de la Empresa de Refractarios Colombianos S.A.S., Erecos.

Todas nuestras plantas de manufactura cuentan con equipos de última tecnología y están certificados bajo estándares ISO 9001, 14001, OSHAS 18001, BASC y C-TPAT. Usamos de forma exitosa herramientas de manufactura de clase mundial y metodologías de mejoramiento de procesos como TPM, Lean Manufacturing y Six Sigma que nos permiten fabricar productos de la más alta calidad.

Nuestra planta está localizada en Colombia, Sur América, cercana a la ciudad de Medellín. Ubicación estratégica que nos permite atender las demandas de nuestros crecientes mercados en Norte, Centro, Sur América y el resto del mundo. Con acceso tanto al océano Atlántico como Pacífico, tenemos la capacidad de realizar despachos directos desde nuestras instalaciones en cuestión de días.

Adicionalmente tenemos una extensa red de distribución que cuenta con producto de forma permanente, entregando soluciones inmediatas a las necesidades de nuestros clientes.",,,,,,,others
"General Motors is an American automotive company that designs, develops, 
manufactures, and markets automobiles, trucks, vans, engines, and replacement parts. 
The company is headquartered in Detroit, Michigan, and is one of the largest automotive companies in the world.",,,"[""CATIA"", ""Siemens NX"", ""LS-DYNA"", ""OnStar"", ""LiDAR"", ""Apache Hadoop""]","[""remote"", ""in_house"", ""mixed""]","[""education"", ""accounting"", ""work_methods"", ""finance""]","[""flexibility"", ""adaptability"", ""organization"", ""resilence"", ""motivation""]",automotive
"Casa Editorial El Tiempo es un grupo de medios con más de 100 años de existencia que cuenta con una amplia gama de medios de comunicación en formatos impresos, digitales (informativos y transaccionales) y televisivos; algunos de los productos impresos son el periódico EL TIEMPO, periódico Portafolio, Diario gratuito ADN, los periódicos regionales 7 Días, Revista Motor, revista Aló, revista Don Juan, revista Portafolio, revista ABC del bebé, revista Carrusel, revista Bocas, revista MetroCuadrado, entre otros; también cuenta con canales de televisión (EL TIEMPO Televisión y CityTV), portales transaccionales
(ElEmpleo.com, MetroCuadrado.com, GuiaAcadémica.com, Clasificados.eltiempo.com y CarroYa.com) y portales digitales informativos (Eltiempo.com, Portafolio.co, RevistaDonJuan.com, ABCdelBebe.com, FutbolRed.com, RevistaMotor.com.co y Alo.co).",,,,,,,publishing
"At IBM, we do more than work. We create. We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you're searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you. We're here to help every creator turn their ""what if"" into what is. Let's create something that will change everything.

Cloud, Mobile, Cognitive, Security, Research, Watson, Analytics, Consulting, Commerce, Experience Design, Internet of Things, Technology support, Industry solutions, Systems services, Resiliency services, Financing, and IT infrastructure",,,"[""IBM Cloud"", ""Watson"", ""Red Hat"", ""Linux"", ""Java"", ""Python"", ""SQL""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""education"", ""work_methods""]","[""assertive_communication"", ""teamwork"", ""problem_solving"", ""creativity"", ""innovation""]",technology
"Ford Motor Company is a global automobile company that manufactures and sells cars, trucks, vans, and vans. 
The company was founded in 1903 by Henry Ford and is headquartered in Dearborn, Michigan. Ford Motor Company +
is one of the world largest companies with operations in more than 200 countries.",,,"[""Autodesk"", ""SolidWorks"", ""Route4Me"", ""Fishbowl""]","[""remote"", ""in_house"", ""mixed""]","[""processes"", ""management_leadership"", ""marketing_sales"", ""education""]","[""assertive_communication"", ""problem_solving"", ""teamwork"", ""critical _thinking"", ""adaptability"", ""innovation""]",automotive
